ADM_CD,ADM_NM,lat,lon,area_km2
21060630,명장1동,35.204721,129.106748,0.8979
21060640,명장2동,35.209358,129.098257,0.8828
21060650,명륜동,35.211015,129.085097,1.3552
21070530,대연3동,35.145441,129.096085,4.4243
21070540,대연4동,35.127448,129.091049,1.0005
21070550,대연5동,35.141573,129.089484,1.2294
21070560,대연6동,35.138203,129.082133,0.6672
21070570,용호1동,35.125506,129.1097,1.5209
21070580,용호2동,35.10768,129.118832,2.0429
21070590,용호3동,35.121188,129.119767,2.0929
21070600,용호4동,35.104279,129.106621,1.6692
21070610,용당동,35.112292,129.097625,3.6707
21070620,감만1동,35.111629,129.079326,3.1153
21070630,감만2동,35.121691,129.084885,0.5102
21070660,문현1동,35.145829,129.076566,1.0579
21070670,문현2동,35.144488,129.066654,0.5689
21070680,문현3동,35.138669,129.073571,0.6168
21070690,문현4동,35.132965,129.070874,0.7634
21070700,대연1동,35.132673,129.088732,0.8552
21070710,우암동,35.126071,129.075521,1.43
21080510,구포1동,35.205242,129.007727,1.1479
21080520,구포2동,35.199458,128.996523,1.6977
21080530,구포3동,35.194857,129.013221,2.7085
21080540,금곡동,35.261731,129.023153,8.0582
21080550,화명1동,35.231877,129.02864,4.9833
21080560,덕천1동,35.217027,129.018047,1.4623
21080570,덕천2동,35.216193,129.002673,2.4579
21080580,덕천3동,35.20782,129.018325,0.8038
21080590,만덕1동,35.220623,129.041661,4.9205
21080600,만덕2동,35.205788,129.039207,2.4562
21080610,만덕3동,35.2045,129.026826,1.4521
21080620,화명2동,35.246978,129.031666,5.0821
21080630,화명3동,35.233685,129.005746,2.4825
21090530,중1동,35.163704,129.169458,1.5126
21090540,중2동,35.160976,129.184101,1.4941
21090560,송정동,35.184521,129.197453,4.2359
21090580,반여2동,35.196295,129.137927,1.284
21090590,반여3동,35.20135,129.140343,1.257
21090620,반송2동,35.235534,129.151945,3.9377
21090640,재송1동,35.182698,129.125044,2.4883
21090650,재송2동,35.189928,129.132717,1.8025
21090660,좌1동,35.173627,129.176077,0.6191
21090670,좌2동,35.170045,129.184343,1.3817
21090680,좌3동,35.17299,129.167236,0.7463
21090690,좌4동,35.189827,129.172765,6.5805
21090700,반여1동,35.2075,129.130812,4.9944
21090710,반여4동,35.208052,129.11548,0.9831
21090720,반송1동,35.220969,129.143787,7.664
21090730,우1동,35.168225,129.156371,3.2106
21090740,우2동,35.178515,129.144321,7.2286
21090750,우3동,35.159003,129.144181,0.8429
21100510,괴정1동,35.098969,128.989521,1.1474
21100520,괴정2동,35.107868,129.000891,2.0973
21100530,괴정3동,35.100531,128.996244,0.7235
21100540,괴정4동,35.101488,128.983994,0.9832
21100550,당리동,35.112415,128.983215,3.9023
21100560,하단1동,35.095529,128.94431,5.0532
21100570,하단2동,35.11681,128.955747,5.8105
21100580,신평1동,35.09062,128.975121,1.7802
21100590,신평2동,35.090603,128.960399,2.5822
21100600,장림1동,35.076857,128.963102,2.4964
21100610,장림2동,35.07564,128.976023,2.349
21100620,다대1동,35.055376,128.955871,9.586
21100630,다대2동,35.059405,128.985711,2.3478
21100640,구평동,35.073523,128.990708,3.565
21100650,감천1동,35.087249,129.002789,2.1127
21100660,감천2동,35.094058,129.00814,0.9192
21110510,서1동,35.218228,129.098052,0.3457
21110520,서2동,35.212811,129.104559,0.4276
21110570,부곡1동,35.223928,129.09501,0.5759
21110580,부곡2동,35.23064,129.096202,1.2973
21110590,부곡3동,35.246828,129.114438,8.5276
21110600,부곡4동,35.219281,129.091054,0.4878
21110610,장전1동,35.241472,129.075814,2.4605
21110640,선두구동,35.281667,129.111906,12.0812
21110670,청룡노포동,35.285662,129.079192,10.9919
21110680,남산동,35.268027,129.08058,3.6495
21110690,구서1동,35.249974,129.089774,2.6589
